text,label
"S/o to my little for buying me my first set of mouse ears, love you babe ️ @ The Happiest Place…",0
️ ️ ️ - Drinking a Knuckle Sandwich by @user @ Mid-City —,0
"Afternoon cup @user #GoGetYourWhidbey (@ Whidbey Coffee in Mukilteo, WA)",4
12.12 Nationa Gingerbread House Day. We weren't able to get a house but settled on a man …,1
@user on skype call #hot #hot #girlpower #hillaryclinton #girlband #altpop…,3
BURN RUBBA @ Lopez Tires,3
"RT @user ""sprite tastes good already, why would anyone want to turn it purple.. am i right??""",1
"#TBT to when I designed this beauty ️ #interiordesign @ Beverly Hills, California",0
@user @user majorlazer @ Hard Summer Music Festival,3
One of the things I am most thankful for. ️ happy thanksgiving! #happythanksgivng #family #love…,0
"View of #Smoke from #BluecutFire from #ChinoHills #abc7eyewitness @ Chino Hills, California",3
"Shes awake but she dont want to get up on her bed #emmyrufino ️ @ Irvine, California",0
Time to take the show on the road .. #TalkinMyShxt coming to ATL! It's #PhillyToHollywood.…,3
thugkitchen tasting menu tonight at @user was en feugo!! #acornsquashravioli…,3
New life motto found at World Market today. #humor #worldmarket #life @ San Fernando Valley,1
37 is fabulous mother f***ers!!! :) ️ ️ ️ @ Mama Shelter Los Angeles,0
HEY BEAUTIFUL BABIES! k so you remember a few weeks ago when I asked you all to think the most…,2
Recap of @user lit show the other night. Many more to come and this new @user song Real…,3
Try to find that moment in each day where you can hit the pause button and be thankful. …,4
Garden grove visiting my dad for the holidays. Stopped by this baby park! Thanks for filming me…,1
I know then...Lit #YouAlreadyKnow #AllGasNoBrake #AUncleMikeSpecial #WhyDidYallLetHimCutMyHair…,3
babyariel you were so sweet and nice! So glad I got to meet you! #digitour #digitoursummer…,4
getting ready for the holiday party!! @ Love Lee Hair,1
When @user gets blocked from writing comments on my pictures on insta.,1
Besties who get boba #lifeisgood @ Anaheim Packing District,2
"On the plane. Headed to Phoenix then to Denver (@ Gate D9 in SeaTac, WA)",4
when you do rite by people you will always have the last laugh @user,1
Pretty in pink! So excited to find new #crueltyfreemakeup The brow gel from bellimisa is…,3
Becca is the craziest funniest girl I know,1
"Couples who lift together, stay together . Some of you may know that I was deathly sick from…",2
Now this is good news!!!! bettercallsaulofficial #bettercallsaul #feb15 @ Hollywood Blvd.,4
"Had such a wonderful time with my grandbaby, she loves when we focus just on her @ Wildomar,…",0
My favorite #PineappleExpress EVER... cc: @user amycrasian linseybrownakalins #Damn…,1
Playing tourist ️ #goldengatebridge #sanfrancisco #marincounty #igerssf #marinheadlands #norcal…,0
Tonight me and rati_kid turning up for my fam @user show with @user @ Los…,3
Gonna enjoy the lovely weather this fine new comic book day! #MyFace #SelfLove #Smile…,4
Happy Thanksgiving! Be Thankful. @ City of Cypress,4
Beef and Pork Ribs at Soot bool Jib in LA korea town #sootbooljib #koreanbbq #meat #ribs…,2
"️ ️ ️ #llama #vacation @ Sisters, Oregon",0
Family walk #AuntLauren @ Green Lake,4
"When someone asks me how many clothes I have..... (tag your fashion friend) @ Los Angeles,…",1
"Found @user on his afternoon jog past @user @ Venice, California",2
DROPPED A NEW REMIX F/ @user @ Club 424,3
Thank you @user #H2H #handtohand #handstand @ Alexis Park Resort Hotel,4
TG Family ️ @ The Cosmopolitan of Las Vegas,0
"Dinner ️ @ The Buffet at Bellagio Hotel, Las Vegas, USA",0
Willie's chair is almost done! It looks pretty comfy . David was in building a memory box for his…,4
My Skitty evolved into a Delcatty! #Skitty #Pokémon #pokemon20 @ City of Santa Paula,2
Time for dinner and enjoying this view of the Sound (@ The @user,4
A piece of Tucson came home with me @ Santa Monica Pier,2
Happy birthday Sara! I'm thankful for having a crazy friend like you love you!!!,4
All the highlights from dcain_28's session yesterday are now on my blog -- would LOVE …,2
Huntington Library and Botanical Gardens. Enjoying the day with wonderful friends. …,2
We the guys too! Gucci for Men soap. #blackentrepreneur #blackowned #blackownedbusiness…,0
Can't we rewind. @ Moonstone Beach,2
"Loki loves to look out windows, he jumps on his Kennel to look out this window @ City of…",1
#Repost @user ・・・Light &amp; love. That's our Ang. #BigAng #MobWives @ Cranium Corporation,2
My happy place. ️ @ Disneyland/California Adventure,0
Secret stache on Nick Thanks so much!! @ Graveyard Tattoos,1
"Sibling love @ Las Vegas, Nevada",2
"#kirklandchoreo ""again"" @user christinaaalba @user @user brittaniebrant #choreo…",3
“@NoChillHumor_: WAIT FOR IT,1
"You have a special place in my heart too, dear @user So amazing &amp; such an honour to…",2
I love my Gloveworx family ️ Thank you @user for my fitspiration journal! I can't wait to…,0
Amazing dinner with my love. Thanks for making my day special ️ @user,0
'LA PULSE/THE PULSE' #Swarovski Crystal #bikini will make his heart race ️ S/S 2017 'La Jungle'…,0
Awwwwww Leo ️,0
Always enjoy our little dates #lunch #cutie #date #beefstew #noodles #itsbeenawhile #chinatown…,4
A good day for #swinging about. #twins #Beans #park #play #swings #theyloveit #toocute…,4
p i m p ' n ain't e a s y #thundervalley #RCMI #companyholidayparty @ Thunder Valley…,1
Stunning mommy in today! I can't wait to meet her little man in just a few weeks! ️ #lovemyjob…,0
"so glad I met Thorn, such a great personality and super talented sucks that tomorrow is our…",2
"i want this on my feed, so just gunna leave it right here. #fave #Arizona #greentea…",4
Soon @ Downtown Los Angeles,2
it feels good to be home with my babies ️ @ The Only Place In Town,0
Just a little crowded. Branden &amp; Kaitlyn are in there somewhere.…,3
Beach tacos ️ ️ ️. Omggggg. I got one black bean cauliflower one in a lettuce shell (love that…,0
Thanks nikki for this random pic of me and @user @ Tito's Tacos,1
"Last throw, last episode of 2015. #EPdaily ️ @ JW Marriott Los Angeles L.A. Live",0
Cali Christmas was lit last night. Thanks power_106 @ The Forum,0
"My FBD put on a great show last night Love you, Drake. @ T-Mobile…",2
"#LAX in a rainy day! Good to be back #LosAngeles, #CA #SoCal #rain (at @user",4
Dinner with my brother @ Hollywood Burger,4
"#DTLA #goodcompany @ The Rooftop at The Standard, Downtown LA",4
️ my cousins #familyisforever @ Delta Diamond Farm Event Center,0
Reunited with these boys. We'll babysit anytime khong3290 #twins…,4
"@user @user That is certainly your right, but I'll always listen to the scientific experts first.",4
Super excited for this years #employeeappreciationday #companypicnic I'm going Wednesday! …,4
Throwback Thursday @ My House,1
#sharmafoodie #dinnerbymyself #delish #bellagiofountains dinner and a show @ Lago by Julian…,4
I'm crying hahaha @user #HappyBirthdayYonni @ Jo-Ann Fabric and Craft Stores,1
Always fun hanging out with the Hansen crew Love you all! @user milikaamasio @user,4
Chillin with Tay Tay at work taylorswift #taylorswift #loveher @user,1
"#nachoweek is back at cantinalena with the new #puertorico nachos: Puerto Rican rubbed pork,…",3
Well look what I found on my phone... @ Encore High School for the Arts,1
Green Tea Kit Kat #fatty #yum #gelato #PopBar @ Anaheim Packing House,4
Last one for the weekend #thunderbirds #airforce #huntingtonbeach #weekend @ Huntington Beach…,4
Beach day with my baby seester @ Huntington Beach Peir,2
"Soul searching #cali #lagunabeach #nofilter #PCH #sunset @ City Of Laguna Beach,Ca",2
Firefly squid. In season at @user #signsofspring @ Yuzuki Japanese Eatery,3
One year ago @ KRISTYS MVP SPORTS BAR,2
"HOW DO YOU NOT KNOW WHAT A BURRITO HOLDER IS @ Ventura, California",1
Another awesome shoot with @user for @user Thanks for the #BTS shot @user …,4
BLESS YOU @ BurGR,3
I also added the same message to my backpack. Let's see how many Hillary supporters…,4
Always Thankful.. #Grateful #Blessed #Thankful #MyJourney…,4
Smoky Skies •••••#losangeles #LA #sky #smoke #fire #summer #summer16 #westcoast #nature…,3
"@user kills it on #gabthemosthigh Beginning-to-end!Get it on Spotify, iTunes, or…",3
CLICK LINK IN MY BIO!!! STOP WHAT YOU DOING AND GO SUPPORT MY CUZZO (@bloccricchotg) AND…,3
"Thank you everyone who made my day special @ Long Beach, California",2
Now for a nap. I've learned to grind different. Take naps but…,1
“@SportingVines: When your controller dies in 2k This must be at the James Harden camp,1
Best birthday ever! Thank you lisavanderpump for the picture! @ Pump Restaurant,2
Finally met Snow White ! She was my favorite when i was little :) #SnowWhite #Disneyland @user,0
The cockiest/prettiest teammate I could find at this place @ Bowlmor…,3
Adult coloring in...apparently a trend! #whoknew @ Brentwood Country Mart,4
Backstage at the @user show - classic Mark Hoppus So many…,1
NOW AVAILABLE TO ORDER! PRICES GO UP ON MONDAY!!!! #LeEars #disneyland #dlr #wdw #disneyparks…,2
When u go grocery shoppin with her like I shoulda stayed in the car,1
new music by @user #GameTime available on ITunes produced by @user .…,3
Working on breakdown into the quick sidestep wit my guy @user .. Straight water @ Los…,1
"Watching the boyfriend's basketball game. (@ MMTSC in Tustin, CA)",4
@ Rosehill Community Center,2
When u find out what you did last night @user,1
spent Christmas Day at Mary's peak and alsea falls @ Alsea Falls,4
"it's #hot ! #ninergang #beach #lazy #rosario @ Ocean Beach, San Francisco",3
"If @user ever offers to pick you up at airport, just say UBER!!! Lol ... #Depingaaa…",1
Last night *drake voice* @ Bootsy Bellows,1
"#Legacy out now click the link in my bio .. u too can jam dis 832.606.5530 @ Los Angeles,…",3
LOS ANGELES I'm in the mixmag Lab this FRIDAY. First 10 fans to email guestlist@mixmag.net get…,3
Fuck off Anna. #ifitsnotoninstagramitdidnthappen #belikeanna @ LVAC Southwest - Las Vegas…,1
Red lips with #bloodline color by @user ●●●● Face bronzer by nyc_new_york_color…,0
"Xmas eve dinner (@ Bocanova in Oakland, CA)",4
"I swear I would lie if I said I don't miss this place ️ ️ uofwa, I never once took you for…",0
"I love being able to wake up everyday and enjoy life @ Rowland Heights, California",4
️ Disneyland #santisbirthdayweekend #blessed @ Disneyland,0
Holiday hair styles #glamorhairstudio #hairextensions #hairguru #hairdoctor #instahair…,2
Our #southernbelle Phoebe #jackrussel #littlelady # ️ #southernkitchenlg she loves #breakfast…,0
Dinner with my loves @ Rice Things,2
Performing at the Grotto tonight was really fun and beautiful @user,0
In less than 24 hours I'll be returning to this vinyl paradise in the desert. @ Desert Trip…,2
throwback my tia was doing too much!! @ Universal Studios Hollywood,1
@user @user HAHHA it's funny!!what season are you on,1
Happy hour was sizzlin @ The Crest Sports Bar and Grill,3
"CenturyLink Field estadio en Seattle @ SeaTac, Washington",4
Happy birthday Danny @user he hated it @ 101 Coffee Shop,1
Mayhem Softball ️ these girls! These girls #playhard #softball #friends #fitness #softballlife…,0
@user thanks for following!,4
Hipster Malasada #pumpkinspice #applejam #generalporpoise #truffleswarwick @ Party Mountain,3
TAKE US BACK TO LA. ️ ️ ️ @ Hollywood,0
Apparently Apple Music is having issues for some people. It's working fine here.,4
Looked what walked in while I'm watching TV. #Onesies #CatInTheHat @ Home Sweet Home,1
Draw my jaw line like one of your French girls. repost via @user from @user in…,1
tonight in Oakland! @user (peaches crew) will be blessing the decks alongside…,3
"Ali vs Minion Dance Showdown @ Los Angeles, California",1
"A whole lotta lovely coming to the blog this week... @ Malibu, California",2
Tropical themed Sweet 16! All Belgian chocolate decor #sweetsixteen #birthdaycake #dessert…,2
"We didn't get the firefalls, but the company and the views were still pretty fire #6dope…",3
Me trying not to have a frosty beverage tonight when #galantis is dropping that ...…,3
Doing our show live today from disneyland You're winning tickets every hour with my Big Scoop on…,4
@user thanks Vanessa hope I see you soon! Let's hangggg,4
Our yummy family afternoon #yummy #familytime #love #thanksgod #qualitytime #lovemyfamily…,4
Family picture! ️ ️ ️ ️ @ Griffith Observatory,0
"I've always wanted to be a style icon. Also, I'm in love with Carly ️ @user #lifegoals…",0
Good afternoon from Disney California Adventure Park @ Disney…,4
Since it's my birthday I'm Kodak Boppin on y'all niggas ALL DAY #CaliStackz #wordaroundtown…,1
It's a purge planet @user @ Nos Event Center,4
"@user your scaring me because I'm over here reading a article about aliens and then your like ""it's coming""",1
Favorite human at the #giants game in #sanfrancisco He makes me happy . #sanfranciscogiants…,4
S/O 2 my dawg #barlord#ohioagainsteverybody @ City of Long Beach,3
Last night at @user @user was on #lasvegas #trainwithjc…,3
"""you can say hi to me at school tomorrow. I won't respond, but it'll mean something to you."" - @user #blackish",1
A literal okole kickin way to start off my birthday stoked to bring my @user,3
best friends since birth take prom ️ @ Galleria at the San Francisco…,0
Last movie before I go back #finally… ★ Moana (w/ Priscilyn &amp; Jedidiah at Pacific Theatres Glendale 18) —,1
Hope you are having a beautiful day #beachvibes #california _Espero que estes teniendo…,2
"Tammi was my bull pen buddy this past weekend! It was so great to meet her, she was so nice!…",4
# ️ #AAMilne @ Kaiser Permanente Walnut Creek Medical Center,0
"Missing you always, V @ Manhattan Beach, California",2
Last night was fucking LIT! Still drunk,1
Date night with @user was amazing! And #SuicideSquad was great! Ignore the critics…,2
"@ Newport Beach, California",2
"After #beach #bonfire with a #view. #SanDiego #weekendgetaway #airbnb #ftw @ San Diego,…",3
recording some Xmas songs...can't wait to have this one out ...don't judge my po computer screen…,4
I could spend hours in here #AtomicRecords @ Atomic Records,2
Finally got a clean pic of this wall by @user noonesart &amp; smooikid in #Oakland #djagana…,2
Gave @user the day off will be back there tomorrow @ J BBQ,1
#Brazilian food #SanFrancisco #BayArea # @ Fire of Brazil Express,3
Yummy stretches before the #Barre class #stretch #happymonday @ GLOW Yoga &amp; Wellness,2
"And here we have the coffeeius drinkerius in its natural habitat But seriously, @user is…",1
@user &amp; @user are taking over the decks tonight. It's gonna be . Last chance to get…,3
strelkathespacedog waiting for dad-human @user ️ @ Vita Cafe,0
The Holiday Helper with gravy fries @ Blue Ribbon Fried Chicken,4
I was a good boy #cakepop #starbucks #baristalife #holidays #detroitlions #parkas…,4
Wrapped up in love and fall colors. ️ #Love #Fall #Anniversary #TwoYearAnniversary #Romance…,0
Hustle and Flow after my root canal with amazing friends charlie_2thman ktlacroix and miss lizette …,2
"But should I put pants on for this? q_ball1992 ahhhh it's just like old times @ Missoula,…",1
happy birthday ubss !!!! @user,2
Kiss ️ @ The Living Desert Zoo Palm Desert / Indian Wells California,0
"Coffee, blueberry and orange blossom scone time #LasVegas…",4
"after a day like today, felt good to walk in and pour myself some . @ Espresso Cielo",3
"A little coffee, a little work for a while. BUT, distractions are welcome (@ Starbucks in West Hollywood, CA)",4
#A18th @ Hollywood Sign,2
On my way to school &amp; I'm in a good mood. Hope this feeling lasts all day #prozacnation,4
"Reunited and it feels so good #mainsqueeze xonelove_97 @ Gilroy, California",2
Congratulations to my best friend and the couple that makes me believe in love! lukesln &amp;…,2
Catch me on interviews -- #AboutLastNight #LyftConfessions @user,1
Checkout our latest #wig styles available at #thehairshophollywood so bold and fly…,2
"Don't get on Santa's naughty list! Remember kids...No lift, No gift! @ LVAC",1
Seattle ️ @ Pike Place Market,0
@user thank you!,4
God is so good!! I have so much to be thankful for #blessedgirl #shine #lovelaughlive…,2
"@ Woodland Hills, California",1
"""@HoopsOverHoes_: Females always say appreciate the smaller things in life until you whip out ya dick smh""",1
For your viewing pleasure....one more flower pic! #garden #succulentgarden #flower #flora…,4
My Lexi can't believe she's applying for colleges now. Where will this world take you? May God…,2
Just throwback after throwback. #yingyangtwins #thewhispersong @ Wild Buffalo,1
Found your Unicorn @user it's a pillow/stuffed toy and every pride weekend it…,1
The kids made ScribbleBots @ Discovery Cube Orange County,4
#puroparty with this girl! Bahaha! Just found video on my phone. Guess #brookelynnpayan was…,1
"When a filter doesn't want to share the wealth @user @ Northridge, California",1
SCREAM! Great on metal #nevada #metalphotos #art4sale #appealphotos #valleyoffire @ Valley of…,4
"can't wait to see my sissy, I miss her so much",2
#fbf Summer fun kickin my boots with this cutie #whiskey#countrymusic#stoneys#summerfun2016…,3
"""If you want to find happiness, find gratitude"" ️ I'm happier than I've ever been and I'm…",0
#VEGAS ️ ️ @ Las Vegas Strip,0
Sharing How to Make Fresh @user Almond Milk Today at @user SF 1pm #dairyfree #vegan #plantbased,4
Finally getting my QT with my bestie ! #buddy #LB #pickles #purplepeople @ Stoneburner,0
#ToolROOM DISCOUNT #EXCHANGELA Tix at: 2.27 #MarkKNIGHT +…,3
And this is how I broke my nail I can last longer when I don't have…,1
"#currentmood #DJMarkDaSpot #MDS2K16 @ Los Angeles, California",1
Keep It Mello #Bonfire #Cali #marshmello #anjelicajacquelyn @ Seabright Beach,3
Love so much being a part of this! Vegas edition now available! ️ ️ ️. Repost from…,0
just because it's a funny picture @ Bubba Gump Shrimp Co. Monterey,1
"50 Shades of Grey #50ShadesOfGrey @ Seattle, Washington",2
Pretty Penny ft. Pop pulling out that deep fried turkey Happy…,3
"Squad up @ Long beach city college, PCC campus",3
My spice girl @ Fiesta Henderson,1
Neo hanging out in the kitchen waiting for some goodies this guy. #dogstagram #dogsofinstgram…,2
I call this chill @ Cafe Maji,4
@user thank you! It's much darker in person I love it !!,4
Hurry up and get out here before it gets hot . We're in our spot under the Terry Donahue…,3
"Italian version of the doomsday #preppers #ItalianProblems @ Duarte, California",1
yo my brother just bought a gpen. holla,1
Thankful for my parents and sisters ️ @ Chart House Restaurant,0
Harry Potter ️ @ TCL Chinese Theatres,0
This is probably the only serious photo you can get out of us @user,1
First 5k &amp; first time racing in uniform in many moons today! Forgot how much fun both were. I…,4
Just received my #mothersday gift from Anthony. Reading the first 5 words and I couldn't hold…,2
My little helper she wanted to help me wash the ropa ️ ️ @user,0
I guess I missed them a little more this time shoutout to Faja for…,4
@user at LACMA yesterday soaking in the sun. #lacma #sun #babe # #portrait #prints #fabric…,3
The haze clears from your eyes...on a Sunday. ️ @user @ The Roxy Theatre,0
"Never had #ChambordSour, its pretty good @ The Mint LA",4
With the hoes @ Central Park,2
@user solemn proposal to @user #VEGAS #AlliHave #JLodancers @ Jennifer Lopez: ALL I…,1
"Yum! #skysushi in Stanton. Great food, excellent service, good prices! @ Sky Sushi",4
Learning how to skateboard #handstand #armbalance #armbalance #handbalance #yogatoday…,1
This is what I deal with client missed two days and I busted their chops. Better bring a…,1
@user google #crittfest 2016 #internetLIT @ Google -…,3
Shabby Chic Sugar Cookies ____________________________#Mwokaji #weddingcookies #mwokajicakery…,2
"performing my poem ""Risen"" @ The Daily Brew. with my 2 favorite people in attendance …",4
Quality time with bessie #mrmrscbyahe @ Domaine Carneros Winery,4
"My heart is happy, I love you, big brother!!!!! ️ You are incredible, your progress is INSANE,…",0
DΞΔN - I'm Not Sorry @user #DEANTRBL #KCON @ KCON L.A 2016 Experience,3
Enough pictures of me... Here's the Palace of Fine Arts #palaceoffinearts #finearts…,4
Happy birthday to Sister Adriana @user,4
Amazing energy from all of these #warriors tonight! They were all on #muaythai #thaiboxing…,3
Last night's show was #freddiegibbs #observatorynorthpark @ The Observatory North Park,3
Will always have ️ for this video. @user #Loco DP'd by the almighty ketildietrichson…,0
All the statement necklaces please @ Shout and About,2
Yo prefiero Herbalife ️ @ Club Life Nutrition,0
"sung my heart out with the boys tonight by that, I mean the…",2
Met a new friend @ Mt Rose today. #feelingaccomplished #fulfillment #iphonography…,4
️ ️ mrjaxtaylor @ The Church Key,0
"Cove Bar always makes me happy, thanks for having one of my favorite beers ️ #yum…",0
"Just one week ago, I experienced the best surprise of my life These beautiful individuals…",2
"Same little man, but so much more love #oneyeardifference…",0
"With you, my heart skips a beat @ SHN: Broadway in San Francisco",2
UNRELEASED DAD HATS #LIFECAPSULE #NY #NYC #STREETWEAR #FASHION #INSTAWEB #LOFECAPSULECLOTHING…,3
That girl could've been me @ Justin Bieber Purpose at Staples Center,1
Lipstick on point. YAASS to my smoking babe of a friend @user @user …,2
Pur very own @user with @user revival_tuesdays with violingirl_amanda in LA …,3
"Monday afternoon coffee break (at @user in Sunnyvale, CA)",4
"7 hours later of 6 20 somethings cooking, we have out thanksgiving feast ️ #happythankgiving @user",0
@user look at that spoiler,3
With my main thang yooomandyb @ The Reserve,2
"Thanks GOD for my beautiful life, my family, my friends.",2
Can't seem to get rid of these 2 #EMD #TownHallWednesfays #EdRobersonSF…,1
"️ ️ ️ ️ this is what I'm thankful for. @ Portland, Oregon",0
@user at the bench...where you get picked up,1
Super excited about this #nye2016 @user @user thejasonbentley @user @user,4
They Said You From #Baltimore Cuff Him #LasVegas @ Las Vegas Strip,1
Speak Life! Check out my Facebook Live Session today! It's on there now! Go! Contact:…,4
"I ️ #succulents planted some cuttings from lizlasorsa thanks Liz hope they prosper @ San Jose,…",0
"How 'bout this sunset, eh? .....#throwback #nofilter #sunset #view #views #bayarea #sun…",4
UNRELEASED DAD HATS #LIFECAPSULE #NY #NYC #STREETWEAR #FASHION #INSTAWEB #LOFECAPSULECLOTHING…,3
My 'office' for the next few days! #Excited to be at #e32016 ~ ~ #Love…,0
From the Bustos &amp; Tagulao family to yours. Have a blessed thanksgiving to all...God bless us all @user,2
Happy Friday my loves! Wearing this gorgeous floral romper from @user today Can't get…,2
you wanna go to big bear mahal? hahaha! #winter #lamignalamiglang…,1
Somebody new came to visit on Ella's Bday. I think we'll keep her! Name tbd... #DirectorsCut…,4
"Whenever I'm upset, I know I could always turn to you for comfort! …",2
All my loves The reason I get to celebrate Mother's Day! I am one…,2
Great evening #housemate killed it ! @ Bellingham Bay,1
Always take the scenic route @ Overlook,2
It's almost Friday! Be fierce with your natural locks @ Knstruct,3
Packing for NY... I NYC,0
#selfiequeen @ Pear Street Bistro,2
Who want a shot.!!! @ Superior Grocers,1
Guess who's flying out on #B6 today! My FAVORITE boss #1176Fam @ San Francisco International…,2
#tbt to a couple years ago in #Hollywood... I'll be seeing you again next week!! …,4
part two of today's workout... cardio... 45 glorious minutes of cardio. Leggo#fitby40…,1
I swear I love All Saints right now. @ Las Vegas Premium Outlets - North,0
"I laughed way to hard at this @ Los Angeles, California",1
Good to see that @user sass still exists in a @user set @ Quartyard,4
I my clients #pdxhairstylist #pdxhair #pdx #220salon @user @ 220 Salon,0
"My baby is home, yay! Time to give him some gourmet popcorn and love ️ #popularitypopcorn is…",0
@user Way to look excited if that's you on the board,1
"#sfmoma art with Elvis by #warhol, installations, sculpture, felt and sheepskin I ️ the new…",0
"I done cut back off that lean I'm on that henndussé @ Carson, California",1
@user swear to god I feel like I'm locked up in that damn closet too,1
Good luck to the @user today in what is undoubtedly a different October game than years…,3
Does Exercise Help Keep Our Brains Young? This is why the young ladies keeps winking at me,4
"The bun mastuuuuuh, always changing her hair, so adorbs •••• #blondehair #balayage…",2
Dear Mama RIP 1947-2016 #dearmama #2pac #makaveli #whenhesgone…,0
legittbrady caught me taking his picture! @ Oakland Yacht Club,1
#amarleyfirst wants a drawing book and #asawyerfirst wants a tree …,1
Turnt up @user with #nickcannon this past #Saturday!! #SKAMLIFE @ Skam Artist Inc,3
Can't wait to call this place my home in 20 days @ California…,4
"You're my person, you will always be my person ️ @ Seattle Grace Mercy West Hospital",0
Perfect outdoor weather today ending the night with cheesecake factory…,4
"Lessons learnt from my dog: Always look ahead in life @ Paramount Pictures Studios, Hollywoood",2
My fam since day 1 ️ and now the finish line is FINALLY here. Wish us luck as we take on the…,0
"Party at #1OakLasVegas!! The best #hiphop spot in #VegasTonight! Text ""peteslist"" by 8:30PM to…",3
How lovely to see this every day. #gay #gays #gayboy #gayguy #gayhot #gayman #gaylove #gayguys…,4
360 look back at it Thanks for the photo @user #colonybmxbrand #epicbmx #ethika…,1
Pals ️ ️ @ Valley Center Middle School,0
Good times today #NAMM @ The NAMM Show,4
My love &amp; l @ OC Fair,2
"The many faces of love #nicholswedding #bestdateever @ The Ritz-Carlton, Laguna Niguel",2
Nascar with my babe @ Autoclub Speedway (California Speedway),4
"Had a great day celebrating my birthday with my family #my20thbirthday @ La Mirada, California",4
enjoying every last second of summer time sunday night family dinners by the pool @ Beautiful…,2
Photo booth fun last night @ Dave &amp; Buster's Hollywood,2
During Christmas we like to match..and make grandma stand out ️ @user,0
